run,model,printed_metric,computed_column,author_stored_mean,current_mean,signed_difference,limitation
run1,RF,roc_auc,roc_auc,0.849,0.9850403812816104,0.13604038128161045,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,RF,roc_auc,roc_auc,0.849,0.9853951512850412,0.1363951512850412,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,KNN,balanced_accuracy,author_printed_balanced_accuracy,0.759,0.9045962285061714,0.14559622850617138,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,KNN,balanced_accuracy,author_printed_balanced_accuracy,0.759,0.9045962285061714,0.14559622850617138,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,KNN,recall,author_printed_recall,0.704,0.9094733242405532,0.2054733242405532,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,KNN,recall,author_printed_recall,0.704,0.9094733242405532,0.2054733242405532,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,KNN,precision,author_printed_precision,0.789,0.9007996806920275,0.1117996806920275,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,KNN,precision,author_printed_precision,0.789,0.9007996806920275,0.1117996806920275,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,KNN,mcc,mcc,0.522,0.8083733540617815,0.28637335406178144,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,KNN,mcc,mcc,0.522,0.8083733540617815,0.28637335406178144,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,KNN,f1,author_printed_f1,0.743,0.9047252279194303,0.16172522791943034,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,KNN,f1,author_printed_f1,0.743,0.9047252279194303,0.16172522791943034,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,KNN,roc_auc,roc_auc,0.825,0.9409771881193354,0.11597718811933544,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,KNN,roc_auc,roc_auc,0.825,0.9409771881193354,0.11597718811933544,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,SVM,balanced_accuracy,author_printed_balanced_accuracy,0.773,0.9575109200571724,0.1845109200571724,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,SVM,balanced_accuracy,author_printed_balanced_accuracy,0.773,0.9575109200571724,0.1845109200571724,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,SVM,recall,author_printed_recall,0.734,0.9534668999564635,0.2194668999564635,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,SVM,recall,author_printed_recall,0.734,0.9534668999564635,0.2194668999564635,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,SVM,precision,author_printed_precision,0.779,0.9628162616397911,0.18381626163979103,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,SVM,precision,author_printed_precision,0.779,0.9628162616397911,0.18381626163979103,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,SVM,mcc,mcc,0.55,0.9153828545312617,0.3653828545312616,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,SVM,mcc,mcc,0.55,0.9153828545312617,0.3653828545312616,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,SVM,f1,author_printed_f1,0.755,0.9576655586192693,0.20266555861926927,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,SVM,f1,author_printed_f1,0.755,0.9576655586192693,0.20266555861926927,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,SVM,roc_auc,roc_auc,0.867,0.9918482597260825,0.12484825972608249,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,SVM,roc_auc,roc_auc,0.867,0.9918482597260825,0.12484825972608249,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LightGBM,balanced_accuracy,author_printed_balanced_accuracy,0.786,0.9397115576670592,0.15371155766705913,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LightGBM,balanced_accuracy,author_printed_balanced_accuracy,0.786,0.9397115576670592,0.15371155766705913,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LightGBM,recall,author_printed_recall,0.765,0.9368714295494481,0.17187142954944812,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LightGBM,recall,author_printed_recall,0.765,0.9368714295494481,0.17187142954944812,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LightGBM,precision,author_printed_precision,0.759,0.9450087261742798,0.18600872617427977,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LightGBM,precision,author_printed_precision,0.759,0.9450087261742798,0.18600872617427977,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LightGBM,mcc,mcc,0.572,0.8797250921233202,0.3077250921233202,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LightGBM,mcc,mcc,0.572,0.8797250921233202,0.3077250921233202,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LightGBM,f1,author_printed_f1,0.762,0.9403873061330579,0.17838730613305787,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LightGBM,f1,author_printed_f1,0.762,0.9403873061330579,0.17838730613305787,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LightGBM,roc_auc,roc_auc,0.868,0.9876107470117894,0.11961074701178942,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LightGBM,roc_auc,roc_auc,0.868,0.9876107470117894,0.11961074701178942,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LSTM,mcc,mcc,0.49450830280032865,0.8533103351879247,0.358802032387596,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LSTM,mcc,mcc,0.49450830280032865,0.8533103351879247,0.358802032387596,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run1,LSTM,roc_auc,roc_auc,0.8227272727272728,0.9584415584415584,0.13571428571428568,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
run2,LSTM,roc_auc,roc_auc,0.8227272727272728,0.9584415584415584,0.13571428571428568,"same formula, but stored notebook data/version differs; stochastic original weights/seeds unavailable"
