dataset,seed,partition,No
author_cleaned,1,train,217
author_cleaned,1,train,17
author_cleaned,1,train,308
author_cleaned,1,train,140
author_cleaned,1,train,257
author_cleaned,1,train,67
author_cleaned,1,train,12
author_cleaned,1,train,165
author_cleaned,1,train,19
author_cleaned,1,train,0
author_cleaned,1,train,355
author_cleaned,1,train,343
author_cleaned,1,train,83
author_cleaned,1,train,240
author_cleaned,1,train,219
author_cleaned,1,train,249
author_cleaned,1,train,99
author_cleaned,1,train,264
author_cleaned,1,train,147
author_cleaned,1,train,51
author_cleaned,1,train,313
author_cleaned,1,train,263
author_cleaned,1,train,341
author_cleaned,1,train,306
author_cleaned,1,train,417
author_cleaned,1,train,49
author_cleaned,1,train,141
author_cleaned,1,train,107
author_cleaned,1,train,295
author_cleaned,1,train,344
author_cleaned,1,train,399
author_cleaned,1,train,20
author_cleaned,1,train,321
author_cleaned,1,train,285
author_cleaned,1,train,120
author_cleaned,1,train,406
author_cleaned,1,train,196
author_cleaned,1,train,52
author_cleaned,1,train,232
author_cleaned,1,train,221
author_cleaned,1,train,180
author_cleaned,1,train,211
author_cleaned,1,train,246
author_cleaned,1,train,8
author_cleaned,1,train,286
author_cleaned,1,train,225
author_cleaned,1,train,48
author_cleaned,1,train,296
author_cleaned,1,train,231
author_cleaned,1,train,213
author_cleaned,1,train,181
author_cleaned,1,train,92
author_cleaned,1,train,242
author_cleaned,1,train,191
author_cleaned,1,train,135
author_cleaned,1,train,44
author_cleaned,1,train,146
author_cleaned,1,train,283
author_cleaned,1,train,395
author_cleaned,1,train,22
author_cleaned,1,train,270
author_cleaned,1,train,57
author_cleaned,1,train,266
author_cleaned,1,train,226
author_cleaned,1,train,241
author_cleaned,1,train,144
author_cleaned,1,train,368
author_cleaned,1,train,108
author_cleaned,1,train,400
author_cleaned,1,train,326
author_cleaned,1,train,11
author_cleaned,1,train,202
author_cleaned,1,train,134
author_cleaned,1,train,373
author_cleaned,1,train,378
author_cleaned,1,train,345
author_cleaned,1,train,36
author_cleaned,1,train,41
author_cleaned,1,train,74
author_cleaned,1,train,42
author_cleaned,1,train,271
author_cleaned,1,train,61
author_cleaned,1,train,364
author_cleaned,1,train,365
author_cleaned,1,train,43
author_cleaned,1,train,45
author_cleaned,1,train,336
author_cleaned,1,train,85
author_cleaned,1,train,205
author_cleaned,1,train,166
author_cleaned,1,train,59
author_cleaned,1,train,90
author_cleaned,1,train,244
author_cleaned,1,train,223
author_cleaned,1,train,401
author_cleaned,1,train,411
author_cleaned,1,train,404
author_cleaned,1,train,402
author_cleaned,1,train,218
author_cleaned,1,train,60
author_cleaned,1,train,149
author_cleaned,1,train,327
author_cleaned,1,train,50
author_cleaned,1,train,24
author_cleaned,1,train,136
author_cleaned,1,train,214
author_cleaned,1,train,96
author_cleaned,1,train,71
author_cleaned,1,train,179
author_cleaned,1,train,28
author_cleaned,1,train,350
author_cleaned,1,train,239
author_cleaned,1,train,175
author_cleaned,1,train,323
author_cleaned,1,train,152
author_cleaned,1,train,262
author_cleaned,1,train,187
author_cleaned,1,train,366
author_cleaned,1,train,278
author_cleaned,1,train,330
author_cleaned,1,train,75
author_cleaned,1,train,82
author_cleaned,1,train,337
author_cleaned,1,train,287
author_cleaned,1,train,284
author_cleaned,1,train,114
author_cleaned,1,train,233
author_cleaned,1,train,289
author_cleaned,1,train,150
author_cleaned,1,train,385
author_cleaned,1,train,361
author_cleaned,1,train,280
author_cleaned,1,train,154
author_cleaned,1,train,322
author_cleaned,1,train,220
author_cleaned,1,train,190
author_cleaned,1,train,413
author_cleaned,1,train,370
author_cleaned,1,train,73
author_cleaned,1,train,227
author_cleaned,1,train,381
author_cleaned,1,train,251
author_cleaned,1,train,256
author_cleaned,1,train,273
author_cleaned,1,train,292
author_cleaned,1,train,311
author_cleaned,1,train,235
author_cleaned,1,train,309
author_cleaned,1,train,133
author_cleaned,1,train,403
author_cleaned,1,train,407
author_cleaned,1,train,169
author_cleaned,1,train,132
author_cleaned,1,train,384
author_cleaned,1,train,112
author_cleaned,1,train,349
author_cleaned,1,train,81
author_cleaned,1,train,129
author_cleaned,1,train,250
author_cleaned,1,train,184
author_cleaned,1,train,209
author_cleaned,1,train,193
author_cleaned,1,train,282
author_cleaned,1,train,260
author_cleaned,1,train,199
author_cleaned,1,train,383
author_cleaned,1,train,176
author_cleaned,1,train,110
author_cleaned,1,train,161
author_cleaned,1,train,27
author_cleaned,1,train,13
author_cleaned,1,train,16
author_cleaned,1,train,131
author_cleaned,1,train,268
author_cleaned,1,train,304
author_cleaned,1,train,76
author_cleaned,1,train,367
author_cleaned,1,train,58
author_cleaned,1,train,392
author_cleaned,1,train,138
author_cleaned,1,train,46
author_cleaned,1,train,382
author_cleaned,1,train,23
author_cleaned,1,train,376
author_cleaned,1,train,104
author_cleaned,1,train,258
author_cleaned,1,train,106
author_cleaned,1,train,414
author_cleaned,1,train,195
author_cleaned,1,train,375
author_cleaned,1,train,3
author_cleaned,1,train,70
author_cleaned,1,train,329
author_cleaned,1,train,318
author_cleaned,1,train,325
author_cleaned,1,train,237
author_cleaned,1,train,197
author_cleaned,1,train,386
author_cleaned,1,train,245
author_cleaned,1,train,103
author_cleaned,1,train,307
author_cleaned,1,train,117
author_cleaned,1,train,303
author_cleaned,1,train,188
author_cleaned,1,train,333
author_cleaned,1,train,177
author_cleaned,1,train,216
author_cleaned,1,train,113
author_cleaned,1,train,203
author_cleaned,1,train,351
author_cleaned,1,train,164
author_cleaned,1,train,252
author_cleaned,1,train,332
author_cleaned,1,train,391
author_cleaned,1,train,139
author_cleaned,1,train,200
author_cleaned,1,train,354
author_cleaned,1,train,288
author_cleaned,1,train,29
author_cleaned,1,train,253
author_cleaned,1,train,86
author_cleaned,1,train,18
author_cleaned,1,train,371
author_cleaned,1,train,145
author_cleaned,1,train,33
author_cleaned,1,train,105
author_cleaned,1,train,54
author_cleaned,1,train,352
author_cleaned,1,train,5
author_cleaned,1,train,65
author_cleaned,1,train,409
author_cleaned,1,train,39
author_cleaned,1,train,157
author_cleaned,1,train,151
author_cleaned,1,train,394
author_cleaned,1,train,276
author_cleaned,1,train,331
author_cleaned,1,train,267
author_cleaned,1,train,1
author_cleaned,1,train,389
author_cleaned,1,train,26
author_cleaned,1,train,10
author_cleaned,1,train,185
author_cleaned,1,train,116
author_cleaned,1,train,305
author_cleaned,1,train,275
author_cleaned,1,train,93
author_cleaned,1,train,66
author_cleaned,1,train,204
author_cleaned,1,train,316
author_cleaned,1,train,319
author_cleaned,1,train,348
author_cleaned,1,train,230
author_cleaned,1,train,353
author_cleaned,1,train,301
author_cleaned,1,train,100
author_cleaned,1,train,167
author_cleaned,1,train,189
author_cleaned,1,train,174
author_cleaned,1,train,261
author_cleaned,1,train,320
author_cleaned,1,train,101
author_cleaned,1,train,299
author_cleaned,1,train,47
author_cleaned,1,test,137
author_cleaned,1,test,162
author_cleaned,1,test,14
author_cleaned,1,test,312
author_cleaned,1,test,302
author_cleaned,1,test,415
author_cleaned,1,test,148
author_cleaned,1,test,192
author_cleaned,1,test,123
author_cleaned,1,test,224
author_cleaned,1,test,153
author_cleaned,1,test,293
author_cleaned,1,test,159
author_cleaned,1,test,210
author_cleaned,1,test,6
author_cleaned,1,test,310
author_cleaned,1,test,362
author_cleaned,1,test,346
author_cleaned,1,test,357
author_cleaned,1,test,281
author_cleaned,1,test,380
author_cleaned,1,test,155
author_cleaned,1,test,315
author_cleaned,1,test,9
author_cleaned,1,test,416
author_cleaned,1,test,158
author_cleaned,1,test,360
author_cleaned,1,test,314
author_cleaned,1,test,388
author_cleaned,1,test,334
author_cleaned,1,test,255
author_cleaned,1,test,228
author_cleaned,1,test,291
author_cleaned,1,test,142
author_cleaned,1,test,21
author_cleaned,1,test,390
author_cleaned,1,test,78
author_cleaned,1,test,172
author_cleaned,1,test,298
author_cleaned,1,test,156
author_cleaned,1,test,356
author_cleaned,1,test,207
author_cleaned,1,test,206
author_cleaned,1,test,265
author_cleaned,1,test,398
author_cleaned,1,test,130
author_cleaned,1,test,109
author_cleaned,1,test,243
author_cleaned,1,test,410
author_cleaned,1,test,127
author_cleaned,1,test,335
author_cleaned,1,test,89
author_cleaned,1,test,374
author_cleaned,1,test,363
author_cleaned,1,test,15
author_cleaned,1,test,259
author_cleaned,1,test,34
author_cleaned,1,test,297
author_cleaned,1,test,418
author_cleaned,1,test,269
author_cleaned,1,test,37
author_cleaned,1,test,126
author_cleaned,1,test,300
author_cleaned,1,test,128
author_cleaned,1,test,77
author_cleaned,1,test,173
author_cleaned,1,test,125
author_cleaned,1,test,397
author_cleaned,2,train,199
author_cleaned,2,train,336
author_cleaned,2,train,81
author_cleaned,2,train,262
author_cleaned,2,train,313
author_cleaned,2,train,165
author_cleaned,2,train,275
author_cleaned,2,train,51
author_cleaned,2,train,14
author_cleaned,2,train,367
author_cleaned,2,train,71
author_cleaned,2,train,224
author_cleaned,2,train,172
author_cleaned,2,train,123
author_cleaned,2,train,210
author_cleaned,2,train,256
author_cleaned,2,train,3
author_cleaned,2,train,376
author_cleaned,2,train,134
author_cleaned,2,train,323
author_cleaned,2,train,103
author_cleaned,2,train,296
author_cleaned,2,train,166
author_cleaned,2,train,345
author_cleaned,2,train,285
author_cleaned,2,train,27
author_cleaned,2,train,245
author_cleaned,2,train,231
author_cleaned,2,train,410
author_cleaned,2,train,379
author_cleaned,2,train,148
author_cleaned,2,train,192
